nohup: ignoring input
2023-07-11 22:51:14.990933: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
Some weights of the model checkpoint at roberta-base were not used when initializing RobertaModel: ['lm_head.decoder.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.bias']
- This IS expected if you are initializing RobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/userhome/cs2/u3603202/anaconda3/envs/torchenv/lib/python3.7/site-packages/transformers/optimization.py:310: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  FutureWarning,
Some weights of the model checkpoint at roberta-base were not used when initializing RobertaModel: ['lm_head.decoder.weight', 'lm_head.layer_norm.bias', 'lm_head.dense.bias', 'lm_head.layer_norm.weight', 'lm_head.dense.weight', 'lm_head.bias']
- This IS expected if you are initializing RobertaModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing RobertaModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
There are 1 GPU(s) available.
Device name: NVIDIA GeForce RTX 2080 Ti
Max length:  348
Start training and testing:

 Epoch  | 每40个Batch |   训练集 Loss   |  测试集 Loss  |  测试集准确率   |    时间    
   1    |    2760    |    0.582631    |      -       |       -       |   16.21  
   1    |    2800    |    0.554873    |      -       |       -       |   16.14  
   1    |    2840    |    0.577830    |      -       |       -       |   16.18  
   1    |    2880    |    0.604336    |      -       |       -       |   16.08  
   1    |    2920    |    0.594618    |      -       |       -       |   16.13  
   1    |    2960    |    0.609390    |      -       |       -       |   16.22  
   1    |    3000    |    0.514828    |      -       |       -       |   16.05  
   1    |    3040    |    0.556118    |      -       |       -       |   15.81  
   1    |    3080    |    0.599529    |      -       |       -       |   15.87  
   1    |    3120    |    0.533052    |      -       |       -       |   15.89  
   1    |    3160    |    0.578544    |      -       |       -       |   15.83  
   1    |    3200    |    0.506668    |      -       |       -       |   15.89  
   1    |    3240    |    0.517431    |      -       |       -       |   16.13  
   1    |    3280    |    0.525088    |      -       |       -       |   16.12  
   1    |    3320    |    0.544429    |      -       |       -       |   16.30  
   1    |    3360    |    0.558743    |      -       |       -       |   16.12  
   1    |    3400    |    0.570639    |      -       |       -       |   16.03  
   1    |    3440    |    0.557071    |      -       |       -       |   15.84  
   1    |    3480    |    0.497726    |      -       |       -       |   15.83  
   1    |    3520    |    0.568880    |      -       |       -       |   15.92  
   1    |    3560    |    0.508598    |      -       |       -       |   16.01  
   1    |    3600    |    0.547038    |      -       |       -       |   16.10  
   1    |    3640    |    0.472023    |      -       |       -       |   16.14  
   1    |    3680    |    0.515557    |      -       |       -       |   16.06  
   1    |    3720    |    0.581783    |      -       |       -       |   16.12  
   1    |    3749    |    0.563085    |      -       |       -       |   11.49  
--------------------------------------------------------------------------------
   1    |     -      |    0.675622    |   0.455420   |    82.60    % |  1627.09 
--------------------------------------------------------------------------------


 Epoch  | 每40个Batch |   训练集 Loss   |  测试集 Loss  |  测试集准确率   |    时间    
--------------------------------------------------------------------------------
   2    |     40     |    0.371457    |      -       |       -       |   16.46  
   2    |     80     |    0.475954    |      -       |       -       |   15.89  
   2    |    120     |    0.397060    |      -       |       -       |   15.92  
   2    |    160     |    0.426552    |      -       |       -       |   15.91  
   2    |    200     |    0.356335    |      -       |       -       |   15.91  
   2    |    240     |    0.360572    |      -       |       -       |   16.04  
   2    |    280     |    0.429408    |      -       |       -       |   15.86  
   2    |    320     |    0.416748    |      -       |       -       |   15.93  
   2    |    360     |    0.350662    |      -       |       -       |   15.94  
   2    |    400     |    0.397572    |      -       |       -       |   15.95  
   2    |    440     |    0.369659    |      -       |       -       |   16.12  
   2    |    480     |    0.401851    |      -       |       -       |   16.12  
   2    |    520     |    0.376843    |      -       |       -       |   16.07  
   2    |    560     |    0.470761    |      -       |       -       |   16.08  
   2    |    600     |    0.363191    |      -       |       -       |   16.34  
   2    |    640     |    0.401118    |      -       |       -       |   15.96  
   2    |    680     |    0.352283    |      -       |       -       |   15.98  
   2    |    720     |    0.375209    |      -       |       -       |   16.11  
   2    |    760     |    0.458628    |      -       |       -       |   16.17  
   2    |    800     |    0.406052    |      -       |       -       |   16.00  
   2    |    840     |    0.429444    |      -       |       -       |   15.92  
   2    |    880     |    0.325940    |      -       |       -       |   16.02  
   2    |    920     |    0.356297    |      -       |       -       |   15.98  
   2    |    960     |    0.422380    |      -       |       -       |   16.06  
   2    |    1000    |    0.347232    |      -       |       -       |   16.08  
   2    |    1040    |    0.394883    |      -       |       -       |   16.01  
   2    |    1080    |    0.401940    |      -       |       -       |   15.94  
   2    |    1120    |    0.361634    |      -       |       -       |   16.02  
   2    |    1160    |    0.379767    |      -       |       -       |   16.00  
   2    |    1200    |    0.404990    |      -       |       -       |   16.06  
   2    |    1240    |    0.386665    |      -       |       -       |   15.89  
   2    |    1280    |    0.314240    |      -       |       -       |   15.95  
   2    |    1320    |    0.352621    |      -       |       -       |   16.05  
   2    |    1360    |    0.314134    |      -       |       -       |   16.24  
   2    |    1400    |    0.357712    |      -       |       -       |   16.17  
   2    |    1440    |    0.345817    |      -       |       -       |   15.98  
   2    |    1480    |    0.354861    |      -       |       -       |   15.95  
   2    |    1520    |    0.366537    |      -       |       -       |   16.02  
   2    |    1560    |    0.392138    |      -       |       -       |   16.04  
   2    |    1600    |    0.350128    |      -       |       -       |   15.93  
   2    |    1640    |    0.327650    |      -       |       -       |   16.03  
   2    |    1680    |    0.314781    |      -       |       -       |   16.03  
   2    |    1720    |    0.355897    |      -       |       -       |   16.09  
   2    |    1760    |    0.380280    |      -       |       -       |   15.96  
   2    |    1800    |    0.340296    |      -       |       -       |   16.01  
   2    |    1840    |    0.331105    |      -       |       -       |   15.98  
   2    |    1880    |    0.437750    |      -       |       -       |   16.02  
   2    |    1920    |    0.358117    |      -       |       -       |   16.02  
   2    |    1960    |    0.320686    |      -       |       -       |   16.10  
   2    |    2000    |    0.375239    |      -       |       -       |   15.96  
   2    |    2040    |    0.384606    |      -       |       -       |   16.06  
   2    |    2080    |    0.272716    |      -       |       -       |   15.92  
   2    |    2120    |    0.278197    |      -       |       -       |   15.97  
   2    |    2160    |    0.374226    |      -       |       -       |   16.01  
   2    |    2200    |    0.272654    |      -       |       -       |   16.33  
   2    |    2240    |    0.371766    |      -       |       -       |   16.03  
   2    |    2280    |    0.313869    |      -       |       -       |   16.10  
   2    |    2320    |    0.332958    |      -       |       -       |   16.04  
   2    |    2360    |    0.308912    |      -       |       -       |   16.01  
   2    |    2400    |    0.338097    |      -       |       -       |   15.90  
   2    |    2440    |    0.293750    |      -       |       -       |   15.92  
   2    |    2480    |    0.283984    |      -       |       -       |   16.12  
   2    |    2520    |    0.296922    |      -       |       -       |   16.09  
   2    |    2560    |    0.369241    |      -       |       -       |   16.10  
   2    |    2600    |    0.301960    |      -       |       -       |   15.97  
   2    |    2640    |    0.291689    |      -       |       -       |   15.98  
   2    |    2680    |    0.380447    |      -       |       -       |   16.00  
   2    |    2720    |    0.313576    |      -       |       -       |   15.98  
   2    |    2760    |    0.342222    |      -       |       -       |   15.83  
   2    |    2800    |    0.240632    |      -       |       -       |   15.90  
   2    |    2840    |    0.348435    |      -       |       -       |   16.14  
   2    |    2880    |    0.340638    |      -       |       -       |   16.27  
   2    |    2920    |    0.296170    |      -       |       -       |   16.02  
   2    |    2960    |    0.298719    |      -       |       -       |   15.88  
   2    |    3000    |    0.282900    |      -       |       -       |   15.97  
   2    |    3040    |    0.353643    |      -       |       -       |   16.02  
   2    |    3080    |    0.356304    |      -       |       -       |   15.95  
   2    |    3120    |    0.320302    |      -       |       -       |   15.82  
   2    |    3160    |    0.226978    |      -       |       -       |   15.97  
   2    |    3200    |    0.267104    |      -       |       -       |   16.02  
   2    |    3240    |    0.251450    |      -       |       -       |   16.01  
   2    |    3280    |    0.374837    |      -       |       -       |   15.90  
   2    |    3320    |    0.353748    |      -       |       -       |   16.17  
   2    |    3360    |    0.273902    |      -       |       -       |   16.18  
   2    |    3400    |    0.334973    |      -       |       -       |   16.09  
   2    |    3440    |    0.253401    |      -       |       -       |   16.09  
   2    |    3480    |    0.262268    |      -       |       -       |   16.13  
   2    |    3520    |    0.314519    |      -       |       -       |   16.18  
   2    |    3560    |    0.224748    |      -       |       -       |   16.23  
   2    |    3600    |    0.355921    |      -       |       -       |   16.19  
   2    |    3640    |    0.264224    |      -       |       -       |   16.18  
   2    |    3680    |    0.280530    |      -       |       -       |   16.14  
   2    |    3720    |    0.258808    |      -       |       -       |   16.08  
   2    |    3749    |    0.307960    |      -       |       -       |   11.54  
--------------------------------------------------------------------------------
   2    |     -      |    0.345052    |   0.346443   |    88.95    % |  1620.19 
--------------------------------------------------------------------------------


 Epoch  | 每40个Batch |   训练集 Loss   |  测试集 Loss  |  测试集准确率   |    时间    
--------------------------------------------------------------------------------
   3    |     40     |    0.181335    |      -       |       -       |   16.54  
   3    |     80     |    0.252600    |      -       |       -       |   16.07  
   3    |    120     |    0.259071    |      -       |       -       |   15.98  
   3    |    160     |    0.214791    |      -       |       -       |   16.10  
   3    |    200     |    0.228872    |      -       |       -       |   16.08  
   3    |    240     |    0.212978    |      -       |       -       |   15.96  
   3    |    280     |    0.204900    |      -       |       -       |   16.12  
   3    |    320     |    0.213214    |      -       |       -       |   16.16  
   3    |    360     |    0.213110    |      -       |       -       |   16.30  
   3    |    400     |    0.234066    |      -       |       -       |   16.21  
   3    |    440     |    0.233891    |      -       |       -       |   16.08  
   3    |    480     |    0.241358    |      -       |       -       |   16.16  
   3    |    520     |    0.240339    |      -       |       -       |   16.12  
   3    |    560     |    0.236608    |      -       |       -       |   16.07  
   3    |    600     |    0.244179    |      -       |       -       |   16.08  
   3    |    640     |    0.230675    |      -       |       -       |   16.20  
   3    |    680     |    0.236435    |      -       |       -       |   16.12  
   3    |    720     |    0.221827    |      -       |       -       |   16.09  
   3    |    760     |    0.233708    |      -       |       -       |   16.19  
   3    |    800     |    0.222489    |      -       |       -       |   16.17  
   3    |    840     |    0.198498    |      -       |       -       |   16.20  
   3    |    880     |    0.192205    |      -       |       -       |   16.08  
   3    |    920     |    0.200966    |      -       |       -       |   16.11  
   3    |    960     |    0.188019    |      -       |       -       |   16.20  
   3    |    1000    |    0.244502    |      -       |       -       |   16.04  
   3    |    1040    |    0.268700    |      -       |       -       |   16.07  
   3    |    1080    |    0.239760    |      -       |       -       |   16.18  
   3    |    1120    |    0.229190    |      -       |       -       |   16.25  
   3    |    1160    |    0.228901    |      -       |       -       |   16.22  
   3    |    1200    |    0.259931    |      -       |       -       |   16.23  
   3    |    1240    |    0.231577    |      -       |       -       |   16.17  
   3    |    1280    |    0.207709    |      -       |       -       |   16.17  
   3    |    1320    |    0.209928    |      -       |       -       |   16.07  
   3    |    1360    |    0.238850    |      -       |       -       |   16.10  
   3    |    1400    |    0.243720    |      -       |       -       |   16.19  
   3    |    1440    |    0.194366    |      -       |       -       |   16.19  
   3    |    1480    |    0.195771    |      -       |       -       |   16.07  
   3    |    1520    |    0.269728    |      -       |       -       |   16.05  
   3    |    1560    |    0.181381    |      -       |       -       |   16.13  
   3    |    1600    |    0.239857    |      -       |       -       |   16.28  
   3    |    1640    |    0.212576    |      -       |       -       |   16.14  
   3    |    1680    |    0.267859    |      -       |       -       |   16.12  
   3    |    1720    |    0.249422    |      -       |       -       |   16.18  
   3    |    1760    |    0.240712    |      -       |       -       |   16.25  
   3    |    1800    |    0.215027    |      -       |       -       |   16.14  
   3    |    1840    |    0.201545    |      -       |       -       |   16.12  
   3    |    1880    |    0.212257    |      -       |       -       |   16.41  
   3    |    1920    |    0.241277    |      -       |       -       |   16.13  
   3    |    1960    |    0.250880    |      -       |       -       |   16.19  
   3    |    2000    |    0.215987    |      -       |       -       |   16.14  
   3    |    2040    |    0.232805    |      -       |       -       |   16.10  
   3    |    2080    |    0.181856    |      -       |       -       |   16.09  
   3    |    2120    |    0.180818    |      -       |       -       |   16.15  
   3    |    2160    |    0.210208    |      -       |       -       |   16.22  
   3    |    2200    |    0.197148    |      -       |       -       |   16.18  
   3    |    2240    |    0.197858    |      -       |       -       |   16.22  
   3    |    2280    |    0.222069    |      -       |       -       |   16.28  
   3    |    2320    |    0.221711    |      -       |       -       |   16.21  
   3    |    2360    |    0.237264    |      -       |       -       |   16.10  
   3    |    2400    |    0.268547    |      -       |       -       |   16.03  
   3    |    2440    |    0.227301    |      -       |       -       |   16.14  
   3    |    2480    |    0.249309    |      -       |       -       |   16.13  
   3    |    2520    |    0.213803    |      -       |       -       |   16.10  
   3    |    2560    |    0.241429    |      -       |       -       |   16.14  
   3    |    2600    |    0.288102    |      -       |       -       |   16.23  
   3    |    2640    |    0.239378    |      -       |       -       |   16.22  
   3    |    2680    |    0.214853    |      -       |       -       |   16.17  
   3    |    2720    |    0.233752    |      -       |       -       |   16.36  
   3    |    2760    |    0.168720    |      -       |       -       |   16.28  
   3    |    2800    |    0.184924    |      -       |       -       |   16.12  
   3    |    2840    |    0.232644    |      -       |       -       |   16.15  
   3    |    2880    |    0.218835    |      -       |       -       |   16.18  
   3    |    2920    |    0.181754    |      -       |       -       |   16.18  
   3    |    2960    |    0.171039    |      -       |       -       |   16.13  
   3    |    3000    |    0.238822    |      -       |       -       |   16.22  
   3    |    3040    |    0.222569    |      -       |       -       |   16.17  
   3    |    3080    |    0.271862    |      -       |       -       |   16.18  
   3    |    3120    |    0.246348    |      -       |       -       |   16.15  
   3    |    3160    |    0.190427    |      -       |       -       |   16.16  
   3    |    3200    |    0.197330    |      -       |       -       |   16.21  
   3    |    3240    |    0.195891    |      -       |       -       |   16.12  
   3    |    3280    |    0.210335    |      -       |       -       |   16.14  
   3    |    3320    |    0.244669    |      -       |       -       |   16.17  
   3    |    3360    |    0.193511    |      -       |       -       |   16.17  
   3    |    3400    |    0.230449    |      -       |       -       |   16.14  
   3    |    3440    |    0.236268    |      -       |       -       |   16.19  
   3    |    3480    |    0.237613    |      -       |       -       |   16.20  
   3    |    3520    |    0.217553    |      -       |       -       |   16.16  
   3    |    3560    |    0.197152    |      -       |       -       |   16.36  
   3    |    3600    |    0.214834    |      -       |       -       |   16.13  
   3    |    3640    |    0.230890    |      -       |       -       |   16.12  
   3    |    3680    |    0.222226    |      -       |       -       |   16.17  
   3    |    3720    |    0.225694    |      -       |       -       |   16.19  
   3    |    3749    |    0.222600    |      -       |       -       |   11.65  
--------------------------------------------------------------------------------
   3    |     -      |    0.223296    |   0.346443   |    88.95    % |  1632.20 
--------------------------------------------------------------------------------


Total number of paramerters in networks is 124722835  
